@RELATION knnmodelTrainings_b174
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Calling,Environment,Silence,Shuffling}

@DATA
0.049197,0.134481,2.924973,0.107528,0.135398,0.197904,0.011691,0.057287,-22.705868,0.951345,-1.853862,0.619603,-0.554406,-0.693520,0.300977,0.473458,-0.336795,-0.335610,0.306779,0.051511,-0.174034,0.005044,0.006064,0.014064,0.017849,0.018978,0.030983,0.018444,0.004808,0.003323,0.002900,0.003650,0.003700,0.017505,0.012680,0.085980,0.338567,0.017804,0.021940,0.104159,0.006202,0.013347,1.983882,0.838371,0.401406,0.369306,0.307143,0.324390,0.271587,0.275178,0.265317,0.333520,0.163924,0.169881,0.141571,0.006024,0.008168,0.013103,0.016865,0.020496,0.012027,0.029293,0.005846,0.003932,0.003234,0.004525,0.004512,0.008577,Calling
0.050729,0.133999,2.895786,0.104445,0.135175,0.186990,0.008469,0.063475,-22.183578,1.030802,-1.409200,0.704091,-0.956211,-0.423341,0.248762,0.337057,-0.168881,-0.253893,0.256967,-0.045075,-0.083163,0.014910,0.008499,0.011790,0.011735,0.016015,0.011389,0.015234,0.004449,0.004462,0.009053,0.007301,0.011236,0.013631,0.013441,0.099911,0.492775,0.017103,0.026341,0.106628,0.004185,0.020036,2.246683,0.983357,0.414416,0.316156,0.370896,0.309447,0.335886,0.277143,0.278262,0.343680,0.197886,0.187589,0.181188,0.018353,0.009457,0.012766,0.010968,0.016920,0.009439,0.015969,0.005018,0.005049,0.008906,0.007336,0.012404,0.007456,Calling
0.049804,0.138812,2.770103,0.106469,0.139450,0.169740,0.009361,0.057654,-22.643886,1.037398,-1.865211,0.782290,-0.611709,-0.756873,0.338291,0.468067,-0.243141,-0.348016,0.264161,0.047501,-0.134603,0.005500,0.006554,0.017484,0.018111,0.018830,0.014530,0.014430,0.005155,0.003233,0.003280,0.003763,0.002928,0.012790,0.013589,0.113392,0.535723,0.019365,0.025193,0.110863,0.005522,0.012338,2.173639,1.073408,0.498810,0.398913,0.343212,0.385611,0.307903,0.272182,0.282791,0.371243,0.209666,0.185413,0.164971,0.005569,0.007991,0.022901,0.018596,0.015421,0.013660,0.022612,0.006631,0.005349,0.004440,0.005123,0.003389,0.008037,Calling
0.013838,0.107566,2.840141,0.111762,0.183495,0.050287,0.012448,0.002904,-25.152449,1.956938,0.507153,0.532446,0.322878,0.274849,0.182242,0.184525,0.084440,0.092710,0.080092,0.076923,0.071741,0.000870,0.000090,0.043852,0.000486,0.016631,0.000258,0.388366,0.000069,0.000223,0.000689,0.006453,0.000131,0.107167,0.007066,0.039446,0.181097,0.015402,0.016592,0.023831,0.008230,0.000647,0.396866,0.189039,0.157002,0.175363,0.140243,0.143160,0.152283,0.161065,0.135679,0.137393,0.117856,0.133922,0.149144,0.000943,0.000056,0.033165,0.000427,0.013882,0.000213,0.063199,0.000075,0.000233,0.000545,0.004947,0.000101,0.016447,Environment
0.016504,0.086521,2.762613,0.113896,0.191619,0.056753,0.018580,0.004038,-24.934368,2.282281,0.629092,0.624784,0.311277,0.224701,0.116096,0.097088,0.031422,0.083015,0.122738,0.077771,0.118751,0.001169,0.000130,0.057569,0.001143,0.045992,0.000847,0.168217,0.000098,0.000516,0.001279,0.079036,0.000173,0.057896,0.009663,0.050486,0.240808,0.017764,0.020550,0.029046,0.016159,0.001384,0.697253,0.184720,0.186251,0.204564,0.146652,0.167975,0.133870,0.147209,0.150307,0.146645,0.120571,0.106224,0.135918,0.001282,0.000100,0.043960,0.001166,0.032227,0.000708,0.075191,0.000114,0.000513,0.000857,0.047696,0.000140,0.014028,Environment
0.017734,0.092966,2.760681,0.122946,0.193328,0.063550,0.013537,0.003010,-25.031594,1.884667,0.416627,0.412638,0.215006,0.241590,0.151099,0.154458,0.084441,0.123156,0.094221,0.047859,0.042171,0.000738,0.000158,0.056106,0.000438,0.024153,0.000379,0.349806,0.000095,0.000236,0.000783,0.006477,0.000170,0.097600,0.007431,0.039369,0.206972,0.013792,0.016292,0.022930,0.007725,0.000585,0.566155,0.225359,0.155699,0.121389,0.119642,0.124403,0.127633,0.151647,0.142710,0.137699,0.099741,0.124588,0.129666,0.000645,0.000141,0.046277,0.000346,0.020514,0.000308,0.081499,0.000087,0.000202,0.000779,0.005545,0.000134,0.020456,Environment
0.011180,0.097390,2.942510,0.111542,0.195582,0.045358,0.011869,0.004800,-24.809334,2.513133,0.712639,0.635427,0.362700,0.318163,0.176488,0.198346,0.109671,0.142805,0.125181,0.130114,0.143654,0.001598,0.000187,0.070998,0.001011,0.017618,0.000760,0.140771,0.000090,0.000450,0.001807,0.143582,0.000220,0.059834,0.005397,0.032224,0.152176,0.021124,0.025735,0.019299,0.007976,0.001187,0.839600,0.155934,0.240532,0.150134,0.151508,0.115441,0.122059,0.110598,0.095054,0.093446,0.097947,0.117975,0.101684,0.001381,0.000156,0.045702,0.000771,0.012442,0.000678,0.054398,0.000073,0.000371,0.001365,0.038109,0.000174,0.008457,Environment
0.009565,0.077105,2.971475,0.108157,0.193864,0.038724,0.013580,0.004121,-25.410534,2.467643,0.732504,0.685337,0.387657,0.333004,0.186482,0.198217,0.117477,0.143804,0.139156,0.137541,0.136565,0.001025,0.000112,0.049503,0.000978,0.021746,0.000538,0.137091,0.000070,0.000300,0.001460,0.153462,0.000165,0.058390,0.004450,0.035293,0.200245,0.019483,0.023995,0.015444,0.010106,0.000611,0.983308,0.146912,0.243894,0.139469,0.104280,0.124991,0.100466,0.106105,0.100151,0.099618,0.093172,0.105002,0.100715,0.000758,0.000093,0.036886,0.000828,0.018246,0.000496,0.058253,0.000052,0.000265,0.001234,0.041733,0.000140,0.008479,Environment
0.009639,0.084262,2.905531,0.106010,0.194345,0.035497,0.013631,0.004265,-25.365439,2.459417,0.617545,0.645924,0.407141,0.359688,0.226088,0.233060,0.165354,0.177570,0.155441,0.138711,0.123734,0.001008,0.000132,0.062936,0.000714,0.034963,0.000475,0.121548,0.000072,0.000322,0.001632,0.124364,0.000177,0.054024,0.005280,0.042305,0.172465,0.022384,0.027150,0.017966,0.009085,0.000797,1.263850,0.215001,0.239965,0.136168,0.148831,0.095275,0.108655,0.116144,0.117523,0.104951,0.112929,0.103825,0.099221,0.000885,0.000112,0.041898,0.000639,0.028642,0.000406,0.051741,0.000067,0.000293,0.001375,0.051099,0.000184,0.011261,Environment
0.011512,0.039494,2.851103,0.101140,0.186719,0.035245,0.023357,0.004740,-26.544399,2.527860,0.809181,0.757197,0.481162,0.444209,0.286604,0.244494,0.167832,0.142266,0.104158,0.086121,0.086818,0.001866,0.000125,0.146287,0.000707,0.044008,0.000434,0.137633,0.000061,0.000206,0.003621,0.011379,0.000150,0.059425,0.005317,0.022061,0.217498,0.020120,0.024932,0.016825,0.014769,0.001014,0.917293,0.153709,0.239983,0.167582,0.149356,0.134690,0.136968,0.123780,0.122343,0.124596,0.105886,0.094156,0.104322,0.001755,0.000130,0.057932,0.000557,0.030450,0.000404,0.074756,0.000058,0.000192,0.002712,0.009944,0.000146,0.014087,Environment
