@RELATION knnmodelTrainings_DB4
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Silence,Shuffle,Environment}

@DATA
0.029134,0.008101,2.859286,0.118023,0.174116,0.198622,0.006352,0.030232,-26.103263,2.112021,-0.245671,0.020677,0.174946,0.338794,-0.209336,0.085132,0.159445,-0.009209,0.055749,0.014755,0.090896,0.006526,0.002431,0.068562,0.003620,0.026822,0.003682,0.205368,0.002314,0.003830,0.006390,0.018667,0.002899,0.059718,0.020839,0.008067,0.171679,0.019565,0.024527,0.136535,0.003708,0.019169,1.725782,0.401376,0.345190,0.240644,0.251573,0.271002,0.247428,0.172911,0.168125,0.145034,0.113919,0.109285,0.100695,0.005176,0.001856,0.047286,0.002568,0.019235,0.002839,0.093010,0.002248,0.002863,0.006490,0.020112,0.001926,0.023182,Shuffle
0.013649,0.018599,2.767705,0.113529,0.184899,0.086180,0.013164,0.014149,-25.346196,2.273401,-0.247649,0.267656,0.167914,0.254785,-0.028106,0.153775,0.048836,0.003410,0.034759,-0.006825,0.080986,0.003693,0.001374,0.051919,0.002870,0.041031,0.002455,0.246225,0.000641,0.002255,0.003375,0.011070,0.001315,0.072726,0.007723,0.008592,0.155813,0.017429,0.023292,0.043772,0.015124,0.008507,1.192705,0.230476,0.288195,0.180046,0.134186,0.171795,0.159494,0.131894,0.149391,0.092105,0.154194,0.100804,0.090697,0.002294,0.001053,0.045087,0.002145,0.023371,0.002171,0.099195,0.000508,0.002189,0.003175,0.007055,0.000957,0.023037,Shuffle
0.014950,0.018948,2.759826,0.102184,0.170554,0.084761,0.016838,0.014519,-25.574632,2.229799,-0.179073,0.213753,0.140357,0.323286,-0.042160,0.250170,0.019105,0.024744,0.162937,-0.022498,0.083120,0.003505,0.001261,0.071046,0.003056,0.020369,0.002609,0.278183,0.000800,0.001960,0.005457,0.013800,0.001506,0.078895,0.008444,0.014132,0.270373,0.020387,0.035106,0.058395,0.017755,0.014260,1.656666,0.405759,0.243773,0.273785,0.213993,0.202728,0.214974,0.250995,0.217386,0.160259,0.143662,0.163404,0.138390,0.004066,0.001617,0.046757,0.003047,0.016919,0.002417,0.111024,0.001232,0.002543,0.008543,0.012015,0.001875,0.028518,Shuffle
0.013825,0.045681,2.775743,0.090281,0.161540,0.043436,0.016955,0.011850,-24.618082,2.282774,-0.614283,0.152863,0.116972,0.310451,0.098257,0.223650,0.020803,0.064120,0.090742,-0.046712,0.001476,0.002918,0.000802,0.056724,0.002014,0.052831,0.001844,0.228962,0.001073,0.001456,0.002107,0.006436,0.000869,0.067968,0.006402,0.026825,0.206566,0.026226,0.037945,0.033332,0.011980,0.013788,1.430276,0.426358,0.484740,0.367764,0.301956,0.198344,0.215918,0.199412,0.168344,0.205275,0.179692,0.237989,0.142171,0.003673,0.000705,0.050605,0.001557,0.037860,0.002034,0.115916,0.001484,0.001293,0.001485,0.005348,0.000849,0.027898,Shuffle
0.008235,0.015583,2.837517,0.103813,0.180237,0.051572,0.027341,0.006284,-27.503458,2.047684,-0.093808,0.199175,0.100542,0.250170,-0.055330,0.075226,0.083221,0.027532,0.114355,0.104995,0.090856,0.001560,0.000398,0.057729,0.000914,0.064537,0.001000,0.215218,0.000338,0.000772,0.000966,0.005806,0.000811,0.067802,0.007157,0.018124,0.162490,0.014518,0.027535,0.033483,0.022244,0.008756,1.684005,0.387951,0.255951,0.187211,0.212448,0.204146,0.205893,0.147014,0.185326,0.131982,0.131531,0.123856,0.099026,0.001885,0.000504,0.052377,0.000808,0.042833,0.001257,0.123796,0.000425,0.001067,0.000899,0.005709,0.001227,0.026867,Shuffle
0.004246,0.109240,2.626152,0.080130,0.169822,0.025618,0.037983,0.003486,-26.518887,2.479227,0.319174,0.482820,0.279793,0.238432,0.193461,0.104963,-0.004399,0.129753,0.082307,0.065946,0.064816,0.000602,0.000114,0.056582,0.000504,0.035287,0.000379,0.318322,0.000092,0.000193,0.000799,0.005287,0.000161,0.091010,0.004218,0.067649,0.229329,0.027120,0.035099,0.049315,0.023503,0.006593,1.525159,0.346205,0.183626,0.213695,0.189784,0.157415,0.177915,0.158234,0.133489,0.142424,0.164962,0.109052,0.127613,0.000700,0.000233,0.042277,0.000761,0.030580,0.000515,0.098374,0.000194,0.000265,0.001116,0.005355,0.000369,0.023784,Shuffle
0.010574,0.052277,2.705923,0.107118,0.189389,0.060000,0.020754,0.008404,-25.893084,2.497294,-0.071185,0.211710,0.068886,0.217556,-0.039604,0.074477,0.135200,0.124209,0.084160,0.058432,0.120803,0.002692,0.000589,0.064533,0.001897,0.034147,0.001908,0.276570,0.000354,0.001643,0.002342,0.011748,0.001215,0.080130,0.011082,0.056721,0.290401,0.021596,0.022947,0.062961,0.014652,0.008651,1.881341,0.347644,0.307424,0.273870,0.233311,0.165979,0.127689,0.107177,0.114321,0.158300,0.155982,0.150887,0.128218,0.003206,0.000573,0.056404,0.002309,0.028038,0.002161,0.110490,0.000382,0.001946,0.002363,0.008927,0.001256,0.025421,Shuffle
0.009192,0.038486,2.656206,0.113568,0.196283,0.072400,0.022175,0.010156,-25.631965,2.212803,-0.088465,0.371995,0.196148,0.291317,0.157778,0.074896,0.023624,0.038833,0.041972,0.023196,0.070157,0.002709,0.001048,0.081308,0.002017,0.038214,0.001729,0.243516,0.001244,0.001320,0.002826,0.007829,0.000855,0.071118,0.008107,0.026965,0.306775,0.018371,0.024056,0.066713,0.020737,0.011088,2.047903,0.250257,0.373844,0.216219,0.142996,0.119911,0.124415,0.150750,0.118262,0.122802,0.113958,0.074331,0.074457,0.003351,0.001542,0.035703,0.002419,0.030849,0.002182,0.100766,0.002428,0.002537,0.003084,0.005678,0.001111,0.025553,Shuffle
0.038827,0.006110,2.833128,0.118891,0.156514,0.247541,0.008592,0.032418,-26.896838,1.696074,-0.287649,0.258913,0.123639,0.112200,-0.015656,0.218206,-0.061969,0.028447,0.082749,0.034253,0.067621,0.005703,0.002183,0.066068,0.005019,0.030517,0.004198,0.210706,0.001555,0.002791,0.003989,0.014358,0.002126,0.061950,0.016700,0.008437,0.171621,0.017271,0.021608,0.125636,0.007760,0.020645,1.396530,0.362650,0.312634,0.264979,0.150433,0.185051,0.207556,0.198994,0.190911,0.136696,0.191130,0.182580,0.153123,0.005221,0.002203,0.058264,0.004759,0.022383,0.004605,0.082623,0.001565,0.002507,0.003542,0.011693,0.002245,0.020328,Shuffle
0.023049,0.012325,2.701944,0.104601,0.161944,0.098175,0.018431,0.015653,-26.500467,1.937774,-0.249300,0.341333,0.020355,0.199823,0.062403,0.025078,0.085931,0.133953,-0.028660,-0.041896,0.028412,0.005125,0.002288,0.074986,0.004664,0.065950,0.002356,0.125812,0.001199,0.001791,0.004263,0.012254,0.001931,0.047274,0.007992,0.012748,0.231308,0.021312,0.034000,0.040755,0.016388,0.013415,1.732356,0.464075,0.285795,0.266461,0.129193,0.128709,0.187556,0.180160,0.189105,0.150701,0.119101,0.106803,0.058791,0.006373,0.002664,0.060360,0.005552,0.025275,0.002080,0.071282,0.002627,0.001635,0.004208,0.009239,0.002152,0.018609,Shuffle
