@RELATION knnmodelTrainings_b151
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Calling,Environment,Silence,Shuffling}

@DATA
0.014893,0.036983,2.674398,0.100843,0.180856,0.037194,0.022676,0.013366,-26.003816,2.044066,-0.598798,0.884559,0.205872,-0.020672,0.095105,-0.014655,0.232212,0.017763,-0.213687,0.197942,0.127188,0.001446,0.000521,0.078017,0.001289,0.051129,0.000756,0.222290,0.001015,0.000957,0.001411,0.005992,0.000688,0.070498,0.008784,0.025360,0.285836,0.022566,0.029362,0.026248,0.015918,0.013869,1.117696,0.281870,0.450903,0.308753,0.261836,0.213570,0.310586,0.220075,0.203941,0.180237,0.223378,0.151488,0.168341,0.001248,0.000507,0.062063,0.001196,0.036779,0.000927,0.119507,0.001449,0.001041,0.001346,0.005153,0.000781,0.024823,Environment
0.012168,0.072925,2.715793,0.109677,0.193520,0.041286,0.023143,0.004892,-25.338445,2.098471,-0.030891,0.631154,0.252270,0.067958,0.079781,0.102186,0.113993,0.058021,-0.105505,0.086267,0.147957,0.001233,0.000428,0.123755,0.000855,0.041992,0.000693,0.221781,0.000165,0.000348,0.000968,0.005827,0.000384,0.077771,0.006760,0.044554,0.225694,0.018360,0.023407,0.020712,0.018997,0.004595,0.857768,0.250805,0.250254,0.173381,0.171809,0.178756,0.201818,0.217494,0.176095,0.163897,0.166073,0.176509,0.134037,0.001098,0.000489,0.090699,0.000956,0.032681,0.000860,0.129620,0.000165,0.000287,0.000824,0.005090,0.000344,0.023989,Environment
0.009103,0.083386,2.643850,0.108486,0.193555,0.035105,0.021228,0.002688,-25.513752,2.105449,0.144683,0.593660,0.297378,0.024066,0.044871,0.140335,0.008569,0.091378,0.078245,-0.015020,0.021563,0.000815,0.000166,0.121273,0.000602,0.039619,0.000644,0.236987,0.000077,0.000243,0.000861,0.007168,0.000211,0.078258,0.005986,0.045534,0.248091,0.018457,0.024101,0.019437,0.014154,0.001556,0.933837,0.230032,0.151494,0.136417,0.142107,0.180296,0.122044,0.103341,0.126429,0.102241,0.122308,0.111156,0.111109,0.000705,0.000156,0.081217,0.000556,0.028812,0.000826,0.102450,0.000069,0.000192,0.000791,0.006610,0.000189,0.020053,Environment
0.013022,0.083556,2.695732,0.104982,0.184104,0.043099,0.025014,0.006897,-24.870720,2.059672,-0.381790,0.679920,0.243808,-0.076590,0.313035,0.191977,-0.099544,0.060883,0.024730,-0.004650,0.100275,0.000933,0.000418,0.122481,0.000941,0.053692,0.001200,0.183525,0.000229,0.000394,0.000969,0.005410,0.000305,0.068626,0.006922,0.047567,0.273674,0.022644,0.029244,0.028608,0.017156,0.008801,0.932940,0.270711,0.434410,0.224969,0.205363,0.202932,0.240912,0.198961,0.214158,0.225014,0.179679,0.185065,0.168540,0.000881,0.000636,0.087522,0.000949,0.043716,0.001833,0.112750,0.000250,0.000371,0.001032,0.005442,0.000302,0.022395,Environment
0.017188,0.067975,2.781455,0.115825,0.194644,0.064715,0.023724,0.007381,-25.331403,2.290066,0.264557,0.345536,0.087345,-0.129573,-0.075191,0.169091,0.204642,0.243359,0.099803,-0.019734,-0.002856,0.001198,0.001097,0.089747,0.000647,0.044460,0.000719,0.230044,0.000217,0.003815,0.001429,0.006467,0.004791,0.072148,0.005792,0.031404,0.139953,0.010987,0.014345,0.017210,0.012741,0.001033,0.418303,0.137921,0.113081,0.142163,0.161246,0.141570,0.118402,0.149305,0.130520,0.120400,0.148072,0.112695,0.090568,0.000544,0.000285,0.055278,0.000959,0.026497,0.001070,0.083391,0.000078,0.000127,0.000549,0.003301,0.000746,0.017597,Environment
0.008564,0.013976,2.713481,0.091972,0.177802,0.024793,0.027678,0.003176,-28.954539,2.374311,0.336297,0.779051,0.498275,0.093251,0.115570,0.315998,0.146602,0.036001,0.090742,0.107296,0.066788,0.000928,0.000205,0.145778,0.000582,0.026877,0.000329,0.231668,0.000075,0.000151,0.002112,0.019085,0.000152,0.082241,0.004505,0.016031,0.221287,0.021869,0.029741,0.013916,0.017370,0.001384,1.128186,0.318489,0.230191,0.322284,0.246137,0.201515,0.152080,0.202227,0.165282,0.145443,0.158572,0.150942,0.153480,0.001116,0.000270,0.083426,0.000590,0.025985,0.000273,0.118382,0.000124,0.000126,0.002415,0.019158,0.000125,0.022416,Environment
0.008936,0.052573,2.701642,0.102115,0.190089,0.031144,0.025078,0.003150,-26.182201,2.550064,0.333019,0.373523,0.021944,-0.042355,0.034402,0.140302,0.053419,0.086817,0.068730,0.004883,-0.026072,0.001823,0.000437,0.121190,0.001041,0.043960,0.000763,0.218281,0.000096,0.000603,0.002043,0.006145,0.000593,0.074362,0.005222,0.033652,0.239535,0.021349,0.025711,0.021948,0.018729,0.002781,0.944492,0.245327,0.199631,0.185764,0.201209,0.228544,0.180952,0.185936,0.169288,0.148548,0.144337,0.131241,0.129028,0.002081,0.000874,0.077311,0.001233,0.032552,0.000806,0.110637,0.000105,0.000600,0.002423,0.007288,0.000805,0.020638,Environment
0.011580,0.072753,2.687216,0.103539,0.187745,0.033986,0.033100,0.003085,-25.707583,2.234778,0.190104,0.418974,0.144024,0.021800,0.077807,0.256629,0.128993,0.055230,0.032931,0.058081,0.035420,0.000849,0.000781,0.138298,0.000761,0.054047,0.000402,0.173417,0.000095,0.000256,0.000699,0.008227,0.000262,0.069760,0.006730,0.042478,0.242077,0.018610,0.021935,0.018769,0.023937,0.002968,0.759891,0.243586,0.197648,0.243502,0.221608,0.186179,0.192115,0.199930,0.170672,0.172290,0.160015,0.180757,0.124984,0.000916,0.002537,0.106820,0.000930,0.043548,0.000469,0.095149,0.000100,0.000267,0.000646,0.009114,0.000366,0.020355,Environment
0.008008,0.066843,2.684593,0.098671,0.186903,0.028377,0.030367,0.002745,-26.144212,2.551484,0.313536,0.365914,0.007863,-0.069101,0.014163,0.147384,0.105025,0.142600,0.082229,-0.003119,-0.006518,0.001442,0.000503,0.111072,0.000784,0.049457,0.000570,0.215775,0.000080,0.000424,0.001111,0.005965,0.000686,0.073563,0.005774,0.045893,0.269786,0.022833,0.028413,0.020434,0.023122,0.002105,1.092551,0.243179,0.153536,0.186618,0.161533,0.227182,0.146976,0.153974,0.161671,0.221608,0.176489,0.120450,0.152385,0.001560,0.001328,0.077162,0.000781,0.039793,0.000721,0.114799,0.000094,0.000441,0.001089,0.006101,0.001100,0.020933,Environment
0.012281,0.089394,2.689979,0.118658,0.201818,0.044173,0.020058,0.003344,-24.817998,2.077590,0.050160,0.621734,0.243506,-0.039360,0.137593,0.284613,0.017506,0.050797,0.073329,0.046294,0.012823,0.000888,0.000176,0.127203,0.000670,0.041949,0.000516,0.222348,0.000094,0.000313,0.001029,0.006122,0.000248,0.077202,0.007359,0.054793,0.276846,0.015528,0.020664,0.019783,0.018904,0.003795,0.791021,0.230293,0.220988,0.170127,0.104501,0.200823,0.155259,0.183595,0.153531,0.116299,0.153316,0.114922,0.109475,0.000735,0.000123,0.091035,0.000456,0.032570,0.000429,0.106713,0.000069,0.000306,0.000896,0.006220,0.000176,0.020248,Environment
