@RELATION knnmodelTrainings_DB12
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Calling,Environment,Silence,Shuffling}

@DATA
0.049197,0.134481,2.924973,0.107528,0.135398,0.197904,0.011691,0.057287,-22.705868,0.951345,-1.853862,0.619603,-0.554406,-0.693520,0.300977,0.473458,-0.336795,-0.335610,0.306779,0.051511,-0.174034,0.005044,0.006064,0.014064,0.017849,0.018978,0.030983,0.018444,0.004808,0.003323,0.002900,0.003650,0.003700,0.017505,0.012680,0.085980,0.338567,0.017804,0.021940,0.104159,0.006202,0.013347,1.983882,0.838371,0.401406,0.369306,0.307143,0.324390,0.271587,0.275178,0.265317,0.333520,0.163924,0.169881,0.141571,0.006024,0.008168,0.013103,0.016865,0.020496,0.012027,0.029293,0.005846,0.003932,0.003234,0.004525,0.004512,0.008577,Calling
0.050729,0.133999,2.895786,0.104445,0.135175,0.186990,0.008469,0.063475,-22.183578,1.030802,-1.409200,0.704091,-0.956211,-0.423341,0.248762,0.337057,-0.168881,-0.253893,0.256967,-0.045075,-0.083163,0.014910,0.008499,0.011790,0.011735,0.016015,0.011389,0.015234,0.004449,0.004462,0.009053,0.007301,0.011236,0.013631,0.013441,0.099911,0.492775,0.017103,0.026341,0.106628,0.004185,0.020036,2.246683,0.983357,0.414416,0.316156,0.370896,0.309447,0.335886,0.277143,0.278262,0.343680,0.197886,0.187589,0.181188,0.018353,0.009457,0.012766,0.010968,0.016920,0.009439,0.015969,0.005018,0.005049,0.008906,0.007336,0.012404,0.007456,Calling
0.049804,0.138812,2.770103,0.106469,0.139450,0.169740,0.009361,0.057654,-22.643886,1.037398,-1.865211,0.782290,-0.611709,-0.756873,0.338291,0.468067,-0.243141,-0.348016,0.264161,0.047501,-0.134603,0.005500,0.006554,0.017484,0.018111,0.018830,0.014530,0.014430,0.005155,0.003233,0.003280,0.003763,0.002928,0.012790,0.013589,0.113392,0.535723,0.019365,0.025193,0.110863,0.005522,0.012338,2.173639,1.073408,0.498810,0.398913,0.343212,0.385611,0.307903,0.272182,0.282791,0.371243,0.209666,0.185413,0.164971,0.005569,0.007991,0.022901,0.018596,0.015421,0.013660,0.022612,0.006631,0.005349,0.004440,0.005123,0.003389,0.008037,Calling
0.026906,0.040941,3.028709,0.099091,0.164368,0.059969,0.019383,0.034610,-24.529808,2.115956,-1.007792,0.433732,0.810781,-0.121694,-0.518405,0.130736,0.428798,0.157087,0.030651,0.102882,0.000788,0.006032,0.003292,0.040588,0.002350,0.051591,0.001194,0.141974,0.000798,0.004717,0.006176,0.014281,0.014581,0.046732,0.008221,0.024187,0.173257,0.016557,0.026328,0.028372,0.013171,0.010441,0.613924,0.293621,0.445013,0.280115,0.214884,0.235906,0.266519,0.260820,0.229456,0.174975,0.198202,0.158594,0.182531,0.008148,0.004411,0.040415,0.002681,0.035304,0.001258,0.075213,0.001237,0.013254,0.009357,0.011766,0.019915,0.016203,Environment
0.024723,0.050824,3.027632,0.100367,0.168711,0.051261,0.020999,0.031636,-24.246904,2.127678,-0.922907,0.353581,0.777492,-0.005346,-0.581319,0.007257,0.413494,0.054495,-0.145155,0.110098,0.080351,0.004609,0.003202,0.042762,0.003797,0.056546,0.002369,0.115948,0.000591,0.002405,0.007593,0.013606,0.012160,0.042830,0.008814,0.024646,0.175559,0.019584,0.030671,0.022834,0.017470,0.013032,0.583029,0.361473,0.446125,0.263849,0.282479,0.260716,0.294977,0.310563,0.264281,0.196960,0.177020,0.166163,0.184363,0.006650,0.004536,0.044543,0.005052,0.045664,0.002848,0.086067,0.000997,0.003303,0.015696,0.014216,0.019673,0.018254,Environment
0.019720,0.058542,2.995213,0.088365,0.149151,0.056002,0.015168,0.019045,-23.411661,2.416722,-0.514235,0.282076,-0.460865,-0.068063,0.052009,-0.142205,0.043744,0.112894,0.137239,0.117150,0.099082,0.002882,0.001877,0.049180,0.002758,0.071859,0.007867,0.126709,0.001046,0.006377,0.003890,0.010384,0.002861,0.046491,0.007514,0.030003,0.164859,0.014352,0.023818,0.026923,0.012736,0.008226,0.476846,0.238066,0.278480,0.193530,0.328412,0.186621,0.233543,0.179201,0.182936,0.150610,0.168914,0.145021,0.131935,0.002670,0.001647,0.042741,0.001916,0.041378,0.008606,0.083055,0.001421,0.005771,0.003168,0.008381,0.003227,0.014779,Environment
0.026828,0.037599,2.997289,0.098241,0.163941,0.057612,0.014283,0.032677,-24.296572,2.209866,-1.070478,0.324505,0.523988,-0.357535,-0.351749,0.276189,0.272072,0.122048,0.020278,-0.019157,0.047649,0.007694,0.005155,0.044539,0.005110,0.053243,0.003183,0.121103,0.000531,0.002529,0.005510,0.011147,0.009000,0.040969,0.008641,0.017931,0.231507,0.016951,0.028870,0.024983,0.007493,0.012641,0.534651,0.360077,0.399015,0.363700,0.385706,0.340296,0.306034,0.382139,0.275962,0.266961,0.239162,0.198109,0.201771,0.011139,0.007285,0.031318,0.005958,0.032840,0.004802,0.079689,0.000682,0.004373,0.004827,0.010530,0.013944,0.017227,Environment
0.032553,0.058055,3.118407,0.092210,0.154841,0.050124,0.015677,0.041091,-23.220214,2.232122,-1.194707,0.486123,0.074588,-0.125522,-0.311964,-0.084102,0.302069,-0.099868,-0.099894,0.264071,0.141992,0.019177,0.004997,0.035124,0.006800,0.043343,0.006746,0.087439,0.001681,0.003172,0.004096,0.009663,0.011768,0.032621,0.008448,0.026717,0.146034,0.021274,0.032700,0.029022,0.009321,0.011615,0.674421,0.386497,0.401538,0.344315,0.503802,0.392979,0.337857,0.380220,0.332981,0.283223,0.313941,0.258214,0.248209,0.030486,0.006651,0.025868,0.009714,0.033785,0.007056,0.066942,0.002004,0.002966,0.004412,0.010226,0.017473,0.016011,Environment
0.027129,0.041848,3.016683,0.094200,0.153903,0.061228,0.017106,0.033795,-23.913602,2.128434,-0.872612,0.553798,0.301583,-0.136392,-0.466650,0.068172,0.302834,-0.004731,0.008606,0.050231,0.003624,0.008817,0.007419,0.038460,0.003452,0.059763,0.004172,0.112218,0.000641,0.002659,0.004189,0.008396,0.004828,0.040747,0.007303,0.024903,0.164168,0.018428,0.026630,0.032147,0.009609,0.012321,0.680838,0.255414,0.434707,0.257696,0.418420,0.302715,0.312078,0.347013,0.253904,0.274422,0.215455,0.235908,0.177483,0.011123,0.009393,0.030867,0.003221,0.043603,0.004239,0.075458,0.000947,0.002587,0.005336,0.006386,0.006177,0.012550,Environment
0.028632,0.032975,3.010531,0.101533,0.163925,0.057804,0.020175,0.035178,-25.115734,1.773952,-1.045223,0.674668,0.879647,-0.249217,-0.448295,0.377221,0.272018,-0.137373,0.003365,0.183899,0.056602,0.015880,0.009386,0.034560,0.006305,0.061236,0.001709,0.100356,0.000330,0.000814,0.001764,0.008583,0.006129,0.039055,0.009712,0.019140,0.212316,0.021032,0.028995,0.033842,0.013771,0.013400,0.594866,0.479817,0.507313,0.349228,0.304372,0.291992,0.315871,0.280508,0.322628,0.219837,0.247265,0.168740,0.220569,0.020280,0.016454,0.037090,0.009051,0.043087,0.002543,0.075258,0.000293,0.000950,0.001444,0.009885,0.010269,0.014678,Environment
