@RELATION knnmodelTrainings_DB30
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Calling,Environment,Silence,Shuffling}

@DATA
0.035592,0.032745,3.107812,0.086590,0.144154,0.050105,0.013320,0.044482,-25.073302,2.320082,-1.916905,0.369027,0.297257,-0.622953,-0.450001,0.117798,0.158192,0.068037,0.057472,0.088274,0.067720,0.016164,0.017251,0.037046,0.009749,0.010950,0.008160,0.047047,0.003840,0.010669,0.010708,0.012474,0.014125,0.023183,0.006153,0.033111,0.248756,0.020346,0.032456,0.037234,0.007497,0.007012,1.343584,0.480470,0.625950,0.396115,0.331716,0.378559,0.287370,0.402624,0.343895,0.350782,0.336721,0.271599,0.241237,0.018706,0.021768,0.036981,0.011498,0.011419,0.009042,0.038901,0.006448,0.016567,0.014215,0.013212,0.018904,0.012199,Calling
0.047593,0.132226,2.860334,0.103644,0.141778,0.183631,0.008518,0.058031,-23.202725,0.951133,-2.249373,0.304077,0.047619,-0.461118,-0.017060,0.010036,0.035159,-0.007668,-0.007532,-0.029581,-0.002921,0.011910,0.011045,0.023137,0.010660,0.013109,0.008552,0.021026,0.005272,0.006690,0.007902,0.012180,0.009780,0.014071,0.013881,0.102023,0.545500,0.024891,0.033264,0.159067,0.004483,0.020663,2.405746,1.172528,0.665592,0.425288,0.322585,0.327254,0.357377,0.307261,0.248470,0.262527,0.216620,0.204130,0.162318,0.012308,0.011919,0.024624,0.008773,0.011379,0.008605,0.025186,0.006646,0.008368,0.008042,0.011714,0.010622,0.009073,Calling
0.032356,0.005834,2.943057,0.114864,0.171098,0.132586,0.011068,0.019142,-26.858674,2.398819,0.342335,0.481532,-0.213484,-0.199822,-0.199966,-0.243134,-0.005516,0.031207,-0.056312,0.110825,0.126416,0.008374,0.001728,0.066344,0.011933,0.034050,0.016515,0.176743,0.000581,0.009347,0.006656,0.015657,0.001938,0.053810,0.009642,0.004987,0.230896,0.019150,0.020200,0.059421,0.006917,0.009226,0.561898,0.381773,0.359885,0.196555,0.386751,0.289632,0.238952,0.276489,0.239510,0.213538,0.204873,0.191532,0.149399,0.008465,0.003276,0.046806,0.016765,0.029302,0.022853,0.086611,0.000724,0.011770,0.006436,0.010489,0.001892,0.020298,Environment
0.036080,0.033793,2.822388,0.129062,0.178301,0.178599,0.009662,0.017415,-24.307163,1.861569,0.066429,0.524622,0.192510,-0.005501,0.044991,0.137506,0.107770,0.049648,0.029690,0.129736,0.080973,0.003100,0.001022,0.114288,0.002718,0.033877,0.002033,0.200576,0.000555,0.001406,0.003361,0.013783,0.001421,0.068356,0.013766,0.019904,0.241959,0.013049,0.017654,0.074532,0.004237,0.016063,0.475648,0.231461,0.258508,0.231877,0.225036,0.222777,0.209305,0.251465,0.165784,0.177636,0.174543,0.164931,0.142399,0.002350,0.001164,0.083292,0.002459,0.032840,0.001941,0.104321,0.000653,0.001389,0.002964,0.012021,0.001601,0.021507,Environment
0.034953,0.020610,2.789239,0.124933,0.179796,0.164303,0.008319,0.011994,-26.906523,2.145809,0.266532,0.401756,0.280650,0.055100,0.002008,0.102249,0.030845,0.055640,0.031824,0.119614,0.057619,0.004535,0.000582,0.109108,0.004352,0.036560,0.002855,0.190645,0.000381,0.001534,0.004260,0.019859,0.000962,0.063070,0.013179,0.035092,0.247284,0.018643,0.021254,0.076917,0.004545,0.007603,0.873068,0.276032,0.226929,0.199826,0.195478,0.143059,0.180150,0.150604,0.134197,0.111546,0.161803,0.126504,0.110839,0.004131,0.000457,0.072693,0.006620,0.028082,0.002906,0.074001,0.000291,0.001354,0.004355,0.016497,0.000845,0.016872,Environment
0.030659,0.063499,3.031685,0.097435,0.156499,0.094492,0.008828,0.032687,-22.691756,2.597154,-0.288721,0.628165,-0.210160,-0.402567,-0.220233,-0.356449,-0.011586,0.137196,-0.092449,-0.052395,0.156825,0.010528,0.002461,0.052467,0.012673,0.042506,0.018232,0.139242,0.001175,0.010307,0.007021,0.012712,0.003681,0.042175,0.007350,0.024980,0.128324,0.014747,0.018894,0.036635,0.003417,0.013727,0.600456,0.391001,0.406365,0.303497,0.196961,0.220741,0.252979,0.239124,0.230856,0.202717,0.169679,0.151512,0.151269,0.008548,0.003100,0.035247,0.014099,0.028404,0.015098,0.069929,0.001332,0.011723,0.004551,0.006680,0.003340,0.015860,Environment
0.029356,0.007629,3.019302,0.108624,0.169744,0.102380,0.011071,0.021748,-26.443839,2.702933,0.390466,0.398001,-0.432147,-0.242541,-0.218817,-0.395462,-0.037009,0.054898,-0.103698,0.120987,0.177832,0.009517,0.001706,0.052118,0.019480,0.035869,0.016958,0.143991,0.000501,0.009210,0.008477,0.015440,0.002379,0.044306,0.005376,0.005686,0.179349,0.019511,0.025063,0.038150,0.005575,0.010889,0.438885,0.321990,0.302301,0.217970,0.339361,0.252716,0.160932,0.215939,0.227651,0.229302,0.189190,0.173346,0.124747,0.010120,0.003137,0.032621,0.021752,0.028412,0.014395,0.059906,0.000675,0.010203,0.006422,0.010906,0.002248,0.013597,Environment
0.034096,0.056812,2.870472,0.131989,0.179568,0.187640,0.007365,0.019093,-23.374412,1.740281,-0.058337,0.637045,0.256766,-0.042323,0.036003,0.074777,0.110560,0.097176,-0.015140,0.119997,0.129445,0.003436,0.001291,0.112445,0.002067,0.029700,0.001832,0.210179,0.000633,0.001668,0.002271,0.017533,0.001120,0.068775,0.010202,0.020540,0.203923,0.013946,0.018001,0.060500,0.003820,0.014709,0.280168,0.166258,0.227650,0.166220,0.170518,0.151747,0.150458,0.180336,0.174563,0.156748,0.135873,0.176657,0.145756,0.002639,0.001448,0.070874,0.001627,0.023136,0.000940,0.080288,0.000479,0.001535,0.001324,0.012556,0.000851,0.016316,Environment
0.032041,0.069049,2.727326,0.124519,0.175606,0.142381,0.012281,0.007718,-23.806854,1.922704,0.311225,0.424907,0.055590,0.069788,0.121668,0.063773,0.077678,0.072549,-0.009636,0.072438,0.079112,0.002015,0.000748,0.099254,0.002306,0.031078,0.001416,0.243398,0.000282,0.000975,0.002825,0.014737,0.000697,0.074428,0.010518,0.028451,0.225918,0.013514,0.017307,0.059277,0.006370,0.006800,0.288230,0.219827,0.209878,0.142163,0.196375,0.147804,0.133795,0.123029,0.153442,0.135932,0.162207,0.186551,0.134174,0.002152,0.000699,0.069856,0.003875,0.025712,0.001737,0.084759,0.000406,0.001237,0.002458,0.012374,0.000729,0.017715,Environment
0.028486,0.078184,2.742416,0.132777,0.184904,0.146123,0.009218,0.005936,-23.949126,1.886277,0.440279,0.378136,0.147005,0.101337,0.053089,0.108103,0.065103,0.043846,0.075073,0.103719,0.076838,0.001660,0.000398,0.091159,0.001370,0.018744,0.001376,0.299528,0.000199,0.000889,0.002313,0.013044,0.000378,0.087861,0.010989,0.032483,0.240859,0.016238,0.017328,0.064906,0.005020,0.004498,0.209279,0.157354,0.186164,0.140337,0.175662,0.133780,0.143693,0.161139,0.147809,0.142372,0.151226,0.145148,0.123619,0.001123,0.000383,0.071118,0.001108,0.022339,0.001487,0.087307,0.000145,0.001013,0.001868,0.012914,0.000274,0.018098,Environment
